epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2532.46,1.5852,2.09078,1.42554,0.33244,0.65905,0.37695,0.19824,1.85419,2.29156,1.8256,0.000475215,0.000475215,0.000475215
2,4982.48,1.58458,1.69557,1.442,0.59708,0.42454,0.36497,0.20137,1.82539,1.93253,1.64389,0.000932708,0.000932708,0.000932708
3,7452.15,1.58466,1.58529,1.44678,0.39328,0.5986,0.3293,0.14845,2.08016,2.35101,1.95451,0.00137134,0.00137134,0.00137134
4,9984.04,1.54973,1.49165,1.41909,0.54476,0.623,0.50205,0.26063,1.86176,1.80409,1.65599,0.00134412,0.00134412,0.00134412
5,12416.5,1.488,1.38999,1.38784,0.47061,0.62819,0.37897,0.19026,1.8743,1.7936,1.65258,0.00131582,0.00131582,0.00131582
6,14853.8,1.44705,1.31746,1.36282,0.44705,0.51456,0.43643,0.24973,1.66825,1.38093,1.57512,0.00128753,0.00128753,0.00128753
7,17275.8,1.42772,1.25416,1.34603,0.60758,0.55202,0.49405,0.27996,1.57685,1.29481,1.44858,0.00125923,0.00125923,0.00125923
8,19693.7,1.38792,1.2097,1.32127,0.41425,0.59715,0.40946,0.22188,1.73634,1.51363,1.50418,0.00123094,0.00123094,0.00123094
9,22174.4,1.36769,1.17552,1.3115,0.45049,0.73047,0.44226,0.25424,1.6061,1.38934,1.4596,0.00120265,0.00120265,0.00120265
10,24596.8,1.34405,1.12957,1.2972,0.68324,0.4745,0.49936,0.28387,1.55854,1.26659,1.46958,0.00117435,0.00117435,0.00117435
11,27280.9,1.33511,1.10594,1.28553,0.41191,0.75628,0.53302,0.31696,1.5511,1.3136,1.47561,0.00114606,0.00114606,0.00114606
12,29947.7,1.29911,1.06155,1.26349,0.50698,0.5659,0.4489,0.25686,1.57303,1.33999,1.41507,0.00111776,0.00111776,0.00111776
13,32474.3,1.29226,1.04782,1.26489,0.49309,0.75901,0.47141,0.26417,1.60426,1.28056,1.5122,0.00108947,0.00108947,0.00108947
14,34896.1,1.27651,1.02815,1.25469,0.4575,0.71215,0.45139,0.24888,1.58788,1.55708,1.41186,0.00106118,0.00106118,0.00106118
15,37443.1,1.26324,1.00869,1.24286,0.45465,0.62683,0.47673,0.27811,1.49697,1.16492,1.37661,0.00103288,0.00103288,0.00103288
16,40442.4,1.24496,0.99231,1.23702,0.45132,0.63822,0.49624,0.28992,1.50192,1.1579,1.35607,0.00100459,0.00100459,0.00100459
17,44036.3,1.23762,0.97064,1.22941,0.47602,0.76595,0.49459,0.28188,1.60212,1.19123,1.40754,0.000976293,0.000976293,0.000976293
18,46556.1,1.22192,0.95157,1.22255,0.45934,0.78478,0.47591,0.28029,1.55339,1.1163,1.40422,0.000947999,0.000947999,0.000947999
19,49277.2,1.20154,0.92902,1.20678,0.45549,0.64397,0.49648,0.28761,1.46046,0.97984,1.37306,0.000919704,0.000919704,0.000919704
20,52036.2,1.19506,0.91803,1.20415,0.42615,0.45451,0.46153,0.26143,1.54949,1.19357,1.37141,0.00089141,0.00089141,0.00089141
21,54820.9,1.19135,0.91123,1.20294,0.45847,0.75921,0.48788,0.2918,1.43588,1.11811,1.34112,0.000863116,0.000863116,0.000863116
22,57594.8,1.18234,0.89751,1.19231,0.54253,0.63638,0.52449,0.30018,1.46819,1.10515,1.3282,0.000834822,0.000834822,0.000834822
23,60367.3,1.17562,0.88018,1.18877,0.51844,0.77674,0.49621,0.27556,1.598,1.21223,1.47693,0.000806528,0.000806528,0.000806528
24,63133.6,1.15847,0.86433,1.1822,0.52832,0.56238,0.48565,0.29363,1.48114,1.04326,1.39684,0.000778233,0.000778233,0.000778233
25,65890.9,1.14426,0.85122,1.17557,0.54154,0.60467,0.49581,0.29075,1.45061,1.03509,1.38749,0.000749939,0.000749939,0.000749939
26,68634.3,1.13559,0.84384,1.1705,0.41191,0.594,0.45915,0.26715,1.51363,1.29648,1.41753,0.000721645,0.000721645,0.000721645
27,71403.9,1.12778,0.82626,1.1639,0.51557,0.5014,0.53332,0.30621,1.48866,0.97415,1.37166,0.000693351,0.000693351,0.000693351
28,73962,1.12299,0.83003,1.16376,0.45703,0.4775,0.51001,0.27707,1.50201,0.99974,1.42106,0.000665057,0.000665057,0.000665057
29,76727.9,1.12048,0.80908,1.16087,0.44847,0.60988,0.46566,0.27156,1.53306,1.1265,1.42434,0.000636762,0.000636762,0.000636762
30,79487.2,1.09934,0.79681,1.15175,0.52599,0.75674,0.51948,0.30786,1.45499,1.12186,1.368,0.000608468,0.000608468,0.000608468
31,82060.7,1.08786,0.78584,1.14445,0.48548,0.66131,0.51847,0.30697,1.4434,1.01424,1.33532,0.000580174,0.000580174,0.000580174
32,84825,1.09716,0.78296,1.14187,0.52808,0.6585,0.51402,0.28771,1.56475,1.01816,1.4569,0.00055188,0.00055188,0.00055188
33,87586.7,1.07626,0.77814,1.1371,0.44268,0.52903,0.5195,0.2881,1.53503,0.99289,1.41506,0.000523586,0.000523586,0.000523586
34,90384.8,1.06861,0.75814,1.13306,0.56346,0.63688,0.54401,0.31345,1.44272,1.0076,1.36456,0.000495291,0.000495291,0.000495291
35,93176.1,1.06153,0.75834,1.12989,0.51036,0.63296,0.50368,0.29138,1.4892,1.08498,1.37491,0.000466997,0.000466997,0.000466997
36,95749.8,1.0459,0.74429,1.12469,0.52249,0.62986,0.53027,0.30606,1.45845,0.98629,1.36359,0.000438703,0.000438703,0.000438703
37,98516.3,1.04755,0.7393,1.12057,0.61173,0.56051,0.52131,0.3008,1.44407,1.13345,1.3375,0.000410409,0.000410409,0.000410409
38,101293,1.04288,0.72983,1.1202,0.49995,0.60179,0.49989,0.28922,1.45443,1.17334,1.34998,0.000382115,0.000382115,0.000382115
39,104074,1.03669,0.72839,1.11834,0.45503,0.68037,0.52539,0.30631,1.45403,1.00238,1.38155,0.00035382,0.00035382,0.00035382
40,106846,1.03372,0.71567,1.11538,0.56233,0.57004,0.51247,0.28674,1.49249,1.14612,1.38006,0.000325526,0.000325526,0.000325526
41,109585,0.95815,0.6002,1.08591,0.50813,0.62127,0.51799,0.31078,1.39207,1.03016,1.36014,0.000297232,0.000297232,0.000297232
42,112341,0.93777,0.57734,1.07495,0.48637,0.68161,0.54024,0.31739,1.48925,1.00342,1.41199,0.000268938,0.000268938,0.000268938
43,115076,0.92401,0.56717,1.06468,0.53696,0.67865,0.54454,0.32606,1.42152,0.97651,1.33316,0.000240644,0.000240644,0.000240644
44,117629,0.91579,0.55773,1.06263,0.49894,0.6403,0.53569,0.32659,1.35353,1.03547,1.31748,0.000212349,0.000212349,0.000212349
45,120364,0.90325,0.5467,1.05626,0.47863,0.65566,0.52063,0.31671,1.40095,0.96319,1.33876,0.000184055,0.000184055,0.000184055
46,123092,0.897,0.54396,1.05216,0.50421,0.63359,0.52709,0.32913,1.3903,1.01577,1.33866,0.000155761,0.000155761,0.000155761
47,125629,0.88638,0.5355,1.0466,0.47944,0.6844,0.52847,0.32053,1.40887,0.99608,1.3499,0.000127467,0.000127467,0.000127467
48,128163,0.87775,0.52481,1.04415,0.49693,0.64417,0.52133,0.32028,1.39529,1.01256,1.35466,9.91726e-05,9.91726e-05,9.91726e-05
49,130513,0.86778,0.52146,1.03901,0.51587,0.66139,0.53351,0.32358,1.42173,0.99267,1.36727,7.08784e-05,7.08784e-05,7.08784e-05
50,133277,0.86244,0.51718,1.03747,0.49623,0.66635,0.52948,0.32571,1.40622,1.01194,1.35704,4.25842e-05,4.25842e-05,4.25842e-05
