epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2740.66,1.85507,2.60097,1.63778,0.45719,0.56507,0.3813,0.25199,1.50715,2.09518,1.4243,0.0700704,0.00332551,0.00332551
2,5541.98,1.75945,2.01478,1.56188,0.59696,0.62215,0.61176,0.40389,1.66607,2.04861,1.52035,0.0400375,0.00662588,0.00662588
3,8558.06,1.78755,1.97961,1.59831,0.51508,0.46113,0.41289,0.24595,1.89212,2.03119,1.6681,0.0099715,0.00989325,0.00989325
4,11591.9,1.81988,1.98304,1.63796,0.39179,0.55445,0.39057,0.20107,2.1144,2.36259,1.96582,0.0098515,0.0098515,0.0098515
5,14562.9,1.77509,1.89487,1.61343,0.57121,0.35934,0.38897,0.23687,1.75762,2.06448,1.65445,0.009802,0.009802,0.009802
6,17468.9,1.7248,1.80309,1.57984,0.46565,0.48402,0.42755,0.25427,1.84908,1.68204,1.69627,0.0097525,0.0097525,0.0097525
7,19895.2,1.70021,1.75569,1.57367,0.65597,0.45485,0.61789,0.41228,1.7108,1.6367,1.54705,0.009703,0.009703,0.009703
1,2602.38,1.8541,2.54014,1.63541,0.34901,0.57062,0.31441,0.19094,1.76729,2.18986,1.56438,0.0551056,0.00498826,0.00498826
2,5188.2,1.8075,2.06291,1.60225,0.30303,0.11299,0.20888,0.1068,2.0626,2.7288,1.91909,0.00990787,0.0097905,0.0097905
3,7972.3,1.85214,2.04445,1.65312,0.60037,0.2971,0.37899,0.2115,1.91963,2.59881,1.76348,0.009604,0.009604,0.009604
4,10733,1.79141,1.92093,1.61794,0.56909,0.37074,0.41879,0.2419,1.88621,2.38831,1.70066,0.009406,0.009406,0.009406
5,13318.4,1.73991,1.83016,1.58812,0.59426,0.35369,0.40337,0.23641,1.79182,2.0651,1.60321,0.009208,0.009208,0.009208
6,16090.6,1.69905,1.75242,1.55965,0.66121,0.46162,0.55478,0.32395,1.79996,1.74205,1.61131,0.00901,0.00901,0.00901
7,18863.6,1.67173,1.70923,1.54782,0.90257,0.34541,0.4722,0.28601,1.69159,1.59227,1.56953,0.008812,0.008812,0.008812
8,21399.9,1.63647,1.63539,1.52607,0.50006,0.67368,0.4586,0.27082,1.68493,1.74558,1.51772,0.008614,0.008614,0.008614
9,24093.1,1.62198,1.59854,1.50949,0.65391,0.52377,0.51377,0.33326,1.58295,1.28172,1.47937,0.008416,0.008416,0.008416
10,26870,1.59555,1.55342,1.48982,0.6623,0.45038,0.48977,0.29733,1.64622,1.63703,1.50827,0.008218,0.008218,0.008218
